org_code,type,attendances,breaches,admissions
RF4,1,20513,2797,4570
RF4,2,637,6,0
RF4,other,2713,15,0
R1H,1,29209,5025,6848
R1H,2,616,0,0
R1H,other,10343,82,0
AD913,other,4364,0,0
RYX,other,19307,99,0
RQM,1,16564,2061,3563
RQM,other,7622,90,0
RJ6,1,6328,1239,2160
RJ6,other,3617,275,0
Y02696,other,1139,0,0
NX122,other,2794,0,0
RVR,1,12270,327,2973
RVR,2,444,0,7
RJ1,1,12482,2152,3205
RJ1,2,739,0,0
RJ1,other,2968,2,0
Y03082,other,3803,0,0
RQX,1,10183,679,1703
RY9,other,4737,0,0
RYJ,1,9713,2905,3266
RYJ,2,3984,9,8
RYJ,other,10880,273,0
RJZ,1,16936,4252,4366
RJZ,2,1972,2,0
RJZ,other,5174,245,0
RAX,1,9267,1068,1747
RAX,2,1024,6,0
RJ2,1,17756,3669,4904
RJ2,other,6136,448,0
R1K,1,11857,3752,5060
R1K,other,17477,97,0
RP6,2,8472,281,43
RAT,other,4920,31,0
RAP,1,14014,1729,2950
Y02973,other,833,0,0
AF003,other,485,0,0
AF002,other,596,0,0
RAL,1,18804,3222,3716
RAL,other,3392,0,0
Y03047,other,1911,0,0
RJ7,1,13155,989,3895
RJ7,other,1403,0,0
F84747,other,2509,0,0
RAS,1,5405,2341,1638
RAS,other,8209,15,0
Y03094,other,3256,0,0
E84068,other,3266,0,0
RKE,1,8253,979,1214
RRV,1,11861,1592,1997
Y02147,other,9443,0,0
Y03201,other,2567,0,0
NL7,other,4817,0,0
RDD,1,11582,1334,2259
RC1,1,6193,778,1664
M85813,other,3317,0,0
RQ3,1,5289,347,1080
RJF,1,5341,834,1717
RJF,other,4268,1,6
RGT,1,9708,2324,2941
RGT,other,3243,2,0
RFS,1,6690,551,1986
NQ108,other,2480,3,0
RDE,1,7639,1092,2547
Y03571,other,5824,39,0
Y02613,other,3979,0,0
RTG,1,11761,1650,3423
RTG,other,4131,1,0
RY8,other,5046,2,0
NNJ,other,1728,0,0
RWH,1,9198,1623,3263
RWH,other,4367,0,0
NAX,other,388,0,0
NQ106,other,635,0,0
RLT,1,6597,927,1091
NTPAL,other,2068,0,0
NEH06,other,1945,0,0
RR1,1,19404,3149,6082
RR1,other,3569,51,1228
RY4,other,875,2,0
RQQ,1,4004,762,871
RGQ,1,7353,491,1953
RGQ,other,483,0,172
RGP,1,6224,884,1178
RGP,other,185,0,0
RNQ,1,7404,895,2496
C82038,other,356,0,0
RY5,other,13694,150,57
NJS05,other,3876,157,0
RC9,1,8723,137,2686
RC9,other,3763,0,0
C82009,other,359,0,0
NLO11,other,591,1,0
NLO09,other,542,0,0
RQ8,1,7959,1600,2198
RQ8,other,430,15,0
RD8,1,7330,1062,1291
RD8,other,4852,1,0
RM1,1,9976,1464,2559
RM1,other,910,0,0
Y02646,other,4946,0,0
RGN,1,8055,1612,2222
RGN,other,757,1,0
RNS,1,9211,1548,2830
RNS,2,972,1,0
NMH01,other,5924,0,0
NR3,other,5467,77,0
RX1,1,15410,3523,4095
RX1,2,1511,25,0
RX1,other,223,2,0
NLO10,other,2919,10,0
C82010,other,274,0,0
NLO12,other,308,0,0
Y02428,other,2251,0,0
RXK,1,14272,2663,3181
RXK,2,2146,13,31
RXK,other,2767,0,0
RK5,1,8612,473,2696
RK5,other,4004,31,5
RXW,1,10400,2630,2273
RXW,other,1671,0,0
R1D,2,431,0,0
R1D,other,1978,1,0
Y02615,other,5866,0,0
RJC,1,5582,253,1679
RJC,other,647,0,0
RAJ,1,8472,1977,2236
Y02961,other,3980,0,0
RNA,1,8907,686,2510
RNA,other,6382,0,0
RQW,1,8666,1973,1646
RQW,other,25,0,0
RCX,1,5455,578,2060
RL4,1,11108,1468,2536
RL4,other,8228,15,0
RWD,1,12969,2416,3432
RRK,1,10075,2013,2775
RKB,1,12315,2369,4076
RKB,2,1785,21,92
RKB,other,2230,5,3
RWE,1,12514,4333,3688
RWE,2,1841,38,3
RWE,other,6115,68,257
RJE,1,15000,4731,4226
RJE,2,361,0,0
RJE,other,4811,9,0
RBK,1,6388,1921,1959
RBK,other,3703,7,0
ATQ02,other,3948,0,0
RWG,1,7949,2097,3040
RWG,other,4047,20,0
RGR,1,5814,806,2017
RWP,1,10269,3029,2804
RWP,other,5630,0,0
R1A,2,633,0,0
RLQ,1,4504,984,1002
RLQ,other,2993,0,0
REM,1,7184,2135,2197
REM,other,6828,0,0
RCF,1,4852,477,962
RBS,1,5259,259,1156
RFF,1,7097,484,2034
RXL,1,7794,1971,2127
RXL,other,9883,6,0
RMC,1,9655,1782,2350
